symptoms,label,disease
one fish has clear eyes,4,Healthy Fish
fish looks tired grey white fungus,3,Fungal diseases Saprolegniasis
i noticed no visible wounds feed was changed recently not sure what happened,4,Healthy Fish
dropsy like swelling abnormal swimming,1,Bacterial diseases - Aeromoniasis
started recently mold growth on tail in my aquarium hiding in corner scratching against rocks color looks dull,3,Fungal diseases Saprolegniasis
gills look damaged sometimes floating near surface gasping at water surface less active than usual today i saw only one fish affected,2,Bacterial gill disease
problem is white spots on body rubbing body on tank wall fish looks stressed loss of appetite water is cloudy is it serious,5,Parasitic diseases
fish showing fungis on body fins are clamped white spots on body started recently?,3,Fungal diseases Saprolegniasis
Weak movement fish was moved to new tank,2,Bacterial gill disease
fish showing breathing difficulty fish looks stressed is it serious,2,Bacterial gill disease
problem is grey white fungus fuzzy wite patches filter was off for few hours started recently,3,Fungal diseases Saprolegniasis
i noticed mold growth on tail loss of apetite pH may be unstable,3,Fungal diseases Saprolegniasis
fish showing stays near filter outlet rapid gill movement hiding in corner water is cloudy tail end looks dead...,2,Bacterial gill disease
for 2 days fungus on body fuzzy white patches staying at bottom after water change only one fish affected,3,Fungal diseases Saprolegniasis
in my aquarium bleeding marks on skin fish looks tired,0,Bacterial Red disease
my fish has fish opens mouth repeatedly mucus on gills fins are clamped filter was off for few hours not sure what happened,2,Bacterial gill disease
since yesterday white patch starting from tail milky white tail breathing faster than normal what disease is this,6,Viral diseases White tail disease
in my aquarium parasites attached to skin hiding in corner water smells bad,5,Parasitic diseases
i noticed red wounds with swelling dropsy like swelling fins are clamped not eating properly rapid gill movement what desease is this,1,Bacterial diseases - Aeromoniasis
does not react much new fish added recently?,3,Fungal diseases Saprolegniasis
one fish has gills look damaged staying at bottom fins clamped what disease is this?,2,Bacterial gill disease
MOLD LIKE GROWTH ON TAIL STAYING AT BOTTOM,3,Fungal diseases Saprolegniasis
fins clamped after water change i noticed scales sticking out please help small blood marks on scales...,0,Bacterial Red disease
in my aquarium popeye swollen belly not eating properly fish looks tired filter was off for few hours bloody red spots not sure what happened,1,Bacterial diseases - Aeromoniasis
For 2 days red sores near fins less active than usual weak swimming with white tail only one fish affected...,0,Bacterial Red disease
since yesterday white patch starting from tail loss of appetite loss of appetite fish was moved to new tank other fish look normal,6,Viral diseases White tail disease
"problem is swollen gills brown gill color not eating properly fish looks bloated, weak is it serious",2,Bacterial gill disease
FOR 2 DAYS RAPID GILL MOVEMENT MUCUS GILLS HIDING IN CORNER ONLY ONE FISH AFFECTED?,2,Bacterial gill disease
Fuzzy white patches hiding in corner,3,Fungal diseases Saprolegniasis
since yesterday tail rot like white area fish looks stressed ammonia may be high not sure what happened,6,Viral diseases White tail disease
normal breathing other fish look normal,4,Healthy Fish
problem is fungal growth on skin abnormal swimming not sure what happened,3,Fungal diseases Saprolegniasis
my fish has clamped fins flashing behavior less active than usual breathing faster than normal tank has algae,5,Parasitic diseases
active and eating well no white spots i noticed is it serious,4,Healthy Fish
Tail tissue damaged does not react much,6,Viral diseases White tail disease
it happens mostly at night since yesterday water is cloudy parasites attached to skin breathing faster than normal flashing behavior?,5,Parasitic diseases
for 2 days fuzzy wite patches white hairy patch what disease is this,3,Fungal diseases Saprolegniasis
FISH SHOWING INFLAMED RED AREAS BLOODDY RED SPOTS FISH LOOKS STRESSED ONLY ONE FISH AFFECTED,0,Bacterial Red disease
today i saw grey white fungus fungal growth on skin fins are clamped tank was cleaned yesterday flashing behavior it happens mostly at night,3,Fungal diseases Saprolegniasis
Fish looks healthy my fish has...,4,Healthy Fish
SMALL BLOOD MARKS ON SCALES BRETHING FASTER THAN NORMAL,0,Bacterial Red disease
rubbing body tank wall hiding in corner,5,Parasitic diseases
fish showing swollen gills water temperature changed other fish look normal,2,Bacterial gill disease
tank has algae slow swimming,5,Parasitic diseases
i noticed bleeding marks on skin bloody red spots staying at bottom loss of appetite white discoloration on tail it happens mostly at night,0,Bacterial Red disease
I noticed staying at bottom fluffy fungus near wound small blood marks on scales fuzzy white patches it happens mostly at night...,3,Fungal diseases Saprolegniasis
abnormal swimming water smells bad?,6,Viral diseases White tail disease
problem is swollen belly fish was moved to new tank what disease is this?,1,Bacterial diseases - Aeromoniasis
feed was changed recently does not react much,6,Viral diseases White tail disease
no red spots my fish has active and eating well,4,Healthy Fish
slow swimming fuzzy white patches one fish has water is cloudy it happens mostly at night?,3,Fungal diseases Saprolegniasis
problem is helthy fins no fungis water slightly dirty not sure what happened...,4,Healthy Fish
Since yesterday mold like growth on tail fungal growth on skin hiding in corner getting worse,3,Fungal diseases Saprolegniasis
small blood marks on scales weak movement one fish has water is slightly dirty...,0,Bacterial Red disease
my fish has healthy fins swims fine most of the time is it serious,4,Healthy Fish
fluid filled belly slow swimming color looks dull problem is what diesase is this popeye,1,Bacterial diseases - Aeromoniasis
I NOTICED BROWN GILL COLOR SLOW SWIMMING WATER IS CLOUDY STARTED RECENTLY,2,Bacterial gill disease
my fish has skin looks reddish and damaged red ulcers on body loss of appetite it happens mostly at night,0,Bacterial Red disease
NOT SURE WHAT HAPPENED WATER TEMPERATURE CHANGED I NOTICED WHITE SPOTS ON BODY FLASHING BEHAVIOR COLOR LOOKS DULL?,5,Parasitic diseases
problem is what disease is this fish swimming normally,4,Healthy Fish
for 2 days normal appetite is it serious,4,Healthy Fish
fish showing fish opens mouth repeatedly fish looks stressed tank has algae tail end looks dead getting worse,2,Bacterial gill disease
since yesterday rapid gill movement pale gill fins are clamped dropsy like swelling not sure what happened,2,Bacterial gill disease
for 2 days fish opens mouth repeatedly does not react much staying at bottom cotton wool growth not sure what happened,2,Bacterial gill disease
fish opens mouth repeatedly staying at bottom,2,Bacterial gill disease
red wounds with swelling fish showing it happens mostly at night deep skin ulcers not eating properly,1,Bacterial diseases - Aeromoniasis
stays near filter outlet slow swimming,2,Bacterial gill disease
Staying at bottom tail turning white weak swimming with white tail only one fish affected since yesterday,6,Viral diseases White tail disease
STAYING AT BOTTOM TANK HAS ALGAE,1,Bacterial diseases - Aeromoniasis
my fish has normal breathing please help...,4,Healthy Fish
i noticed white spots on body rubbing body on tank wall,5,Parasitic diseases
feed was changed recently breathing faster than normal...,6,Viral diseases White tail disease
started recently hiding in corner problem is fuzzy white patches mold like growth on teil,3,Fungal diseases Saprolegniasis
tail fin becoming pale tail turning whit started recently fish looks stressed water is cloudy slow swimming i noticed,6,Viral diseases White tail disease
in my aquarium fungus on body fish looks tired abnormal swimming feed was changed recently weak swimming with white tail what disese is this,3,Fungal diseases Saprolegniasis
My fish has red streaks around tail skin looks reddish and damaged fish looks tired sometimes floating near surface other fish look normal,0,Bacterial Red disease
GETTING WORSE FOR 2 DAYS BROWN GILL COLOR LESS ACTIVE THAN USUAL,2,Bacterial gill disease
TAIL ROT LIKE WHITE AREA HIDING IN CORNER,6,Viral diseases White tail disease
in my aquarium red wounds with swelling popeye less active than usual fish looks tired filter was off for few hours what diesase is this,1,Bacterial diseases - Aeromoniasis
inflamed red areas water smells bad small blood marks on scales problem is please help slow swimming,0,Bacterial Red disease
since yesterday pale gills gasping at water surface only one fish affected,2,Bacterial gill disease
problem is teil end looks dead white tail tip less active than usual hiding in corner cotton wool growth other fish look normal...,6,Viral diseases White tail disease
since yesterday fluffy fungus near wound grey white fungus fish looks stressed weak movement started recently?,3,Fungal diseases Saprolegniasis
Bloody red spots red sores near fins less active than usual started recently,0,Bacterial Red disease
tank was cleaned yesterday other fish look normal for 2 days stays near filter outlet white tail tip loss of appetite,6,Viral diseases White tail disease
swollen belly fins are clamped,1,Bacterial diseases - Aeromoniasis
for 2 days gasping at water surface breathing difficulty not sure what happened...,2,Bacterial gill disease
MY FISH HAS WHIT TAIL TIP TAIL FIN BECOMING PALE BREATHING FASTER THAN NORMAL STAYS NEAR FILTER OUTLET ONLY ONE FISH AFFECTED,6,Viral diseases White tail disease
skin looks reddish and damaged sometimes floating near surface,0,Bacterial Red disease
MY FISH HAS SMALL BLOOD MARKS ON SCALES RED SORES NEAR FINS OTHER FISH LOOK NORMAL?,0,Bacterial Red disease
"active, eating well",4,Healthy Fish
my fish has flashing behavior clamped fins loss of appetite what disease is this,5,Parasitic diseases
problem is what disease is this tail turning white red patches body hiding in corner bleeding marks skin ammonia may be high,0,Bacterial Red disease
my fish has fish looks bloated and weak red wounds with swelling color looks dull fungus on body is it serious,1,Bacterial diseases - Aeromoniasis
does not react much cotton wool growth getting worse i noticed fungal growth on skin,3,Fungal diseases Saprolegniasis
today i saw tiny salt like dots tiny salt like dots staying at bottom water is cloudy other fish look normal,5,Parasitic diseases
my fish has swolen belly swollen belly fins are clamped slow swimming pH may be unstable started recently...,1,Bacterial diseases - Aeromoniasis
getting worse staying at bottom one fish has loss of appetite tail end looks dead water is cloudy?,6,Viral diseases White tail disease
not sure what happened water is slightly dirty less active than usual brown gill color mucus on gills?,2,Bacterial gill disease
only one fish affected fuzzy white patches in my aquarium stays near filter outlet weak movement,3,Fungal diseases Saprolegniasis
normal breathing...,4,Healthy Fish
clear eyes?,4,Healthy Fish
water temperature changed fluid filled belly since yesterday not eating properly...,1,Bacterial diseases - Aeromoniasis
inflamed red areas sometimes floating near surface,0,Bacterial Red disease
in my aquarium red wounds with swelling fish looks stressed other fish look normal,1,Bacterial diseases - Aeromoniasis
"since yesterday bloated abdomen fish looks bloated, weak fins are clamped staying at bottom after water change tiny salt like dots getting worse...",1,Bacterial diseases - Aeromoniasis
problem is inflamed red areas hiding in corner filter was off for few hours...,0,Bacterial Red disease
visible lice on fish hiding in corner flashing behavior it happens mostly at night new fish added recently since yesterday,5,Parasitic diseases
today i saw red wounds on belly red patches on body does not react much tank has algae please help,0,Bacterial Red disease
since yesterday healthy fins swims fine most of the time pH may be unstable started recently,4,Healthy Fish
In my aquarium skin irritation color looks dull loss of appetite is it serious,5,Parasitic diseases
fish showing blody red spots fish looks tired what disease is this,0,Bacterial Red disease
breathing faster than normal ammonia may be high...,3,Fungal diseases Saprolegniasis
i noticed red streaks around tail loss of appetite it happens mostly at night,0,Bacterial Red disease
problem is bright body color no red spots,4,Healthy Fish
FISH SHOWING ACTIVE AND EATING WELL?,4,Healthy Fish
clamped fins rubbing body on tank wall fins are clamped white patch starting from tail what disease is this?,5,Parasitic diseases
fish looks helthy,4,Healthy Fish
in my aquarium active and eating well started recently,4,Healthy Fish
FINS ARE CLAMPED COTTON WOOL GROWTH HIDING IN CORNER WHITE HAIRY PATCH RED WOUNDS WITH SWELLING,3,Fungal diseases Saprolegniasis
fish showing ammonia may be high what disease is this stays near filter outlet,2,Bacterial gill disease
fish looks healthy eats a little slow but normal fish showing is it serious,4,Healthy Fish
no visible wounds fish showing please help,4,Healthy Fish
since yesterday bleeding marks on skin red streaks around tail slow swimming fish keeps scratching not sure what happened,0,Bacterial Red disease
since yesterday white tail tip hiding in corner loss of appetite water is slightly dirty other fish look normal,6,Viral diseases White tail disease
abnormal swimming pH may be unstable grey white fungus for 2 days only one fish affected,3,Fungal diseases Saprolegniasis
my fish has white patch starting from taill feed was changed recently breathing difficulty not eating properly not sure what happened...,6,Viral diseases White tail disease
Water smells bad fluffy fungus near wound mold like growth on taill my fish has loss of appetite?,3,Fungal diseases Saprolegniasis
weak movement pH may be unstable,1,Bacterial diseases - Aeromoniasis
SINCE YESTERDAY WHITE DISCOLORATION TAIL BREATHING FASTER THAN NORMAL IT HAPPENS MOSTLY AT NIGHT,6,Viral diseases White tail disease
in my aquarium red wounds on belly bleeding marks on skin not eating properly not sure what happened,0,Bacterial Red disease
loss of appetite after water change i noticed scraching against rocks scratching against rocks...,5,Parasitic diseases
tail turning white staying at bottom,6,Viral diseases White tail disease
my fish has stays near filter outlet slow swimming water smells bad,2,Bacterial gill disease
loss of appetite red sores near fins please help for 2 days parasites attached to skin small blood marks on scales fish looks stressed,0,Bacterial Red disease
fish showing fish looks healthy please help?,4,Healthy Fish
problem is bleeding marks on skin red sores near fins fins are clamped fish looks stressed getting worse...,0,Bacterial Red disease
red patches on body since yesterday inflamed red areas not eating properly,0,Bacterial Red disease
white hairy patch is it serious white cotton like growth staying at bottom for 2 days fish looks stressed,3,Fungal diseases Saprolegniasis
Tail fin becoming pale less active than usual,6,Viral diseases White tail disease
Problem is rubbing body on tank wall water temperature changed,5,Parasitic diseases
In my aquarium white cotton like growth white cotton like growth fish looks stressed please help,3,Fungal diseases Saprolegniasis
less active than usual oxygen level may be low,6,Viral diseases White tail disease
Visible lice on fish less active than usual mold growth on tail my fish has is it serious fuzzy white patches,3,Fungal diseases Saprolegniasis
white mold on fins fuzzy white patches not eating properly water temperature changed breathin difficulty,3,Fungal diseases Saprolegniasis
problem is tail tissue damaged tail turning white hiding in corner please help...,6,Viral diseases White tail disease
white cotton like growth abnormal swimming?,3,Fungal diseases Saprolegniasis
is it serious fish looks stressed milky white tail tail rot white area in my aquarium slow swimming,6,Viral diseases White tail disease
in my aquarium tail tissue damaged white cotton like growth other fish look normal,6,Viral diseases White tail disease
i noticed teil rot like white area taill tissue damaged hiding in corner water temperature changed is it serious,6,Viral diseases White tail disease
fuzzy wite patches please help new fish added recently mold like growth on tail loss of appitite today i saw fish opens mouth repeatedly,3,Fungal diseases Saprolegniasis
fish showing tiny salt like dots fish looks tired new fish added recently tail rot like white area other fish look normal...,5,Parasitic diseases
fish showing visible lice on fish scraching against rocks abnormal swimming fuzzy white patches it serious,5,Parasitic diseases
since yesterday clear eyes swims fine most of the time is it serious,4,Healthy Fish
Dropsy swelling fins clamped is it serious today i saw bloated abdomen less activ than usual,1,Bacterial diseases - Aeromoniasis
smooth scales,4,Healthy Fish
my fish has bleeding marks on skin fish looks tired other fish look normal,0,Bacterial Red disease
not eating properly please help gasping at water surface fish looks tired fish was moved to new tank white patch starting from tail problem is,6,Viral diseases White tail disease
stays near filter outlet breathin faster than normal it happens mostly at night rapid gill movement for 2 days,2,Bacterial gill disease
not sure what happened smooth scales fish showing,4,Healthy Fish
i noticed water is cloudy hiding in corner getting worse red patches on body inflamed red areas abnormal swimming,0,Bacterial Red disease
in my aquarium body ulcers fins are clamped not eating properly what disease is this,1,Bacterial diseases - Aeromoniasis
my fish has clamped fins sometimes floating near surface it happens mostly at night,5,Parasitic diseases
my fish has started recently no white spots clear eyes,4,Healthy Fish
fins are clamped abnormal swimming fluffy fungus near wound in my aquarium fungus on body only one fish affected...,3,Fungal diseases Saprolegniasis
problem is tiny salt like dots skin irritation weak movement white cotton like growth not sure what happened,5,Parasitic diseases
NORMAL BREATHING STARTED RECENTLY PROBLEM IS,4,Healthy Fish
bright body color,4,Healthy Fish
does not react much what disease is this mold like growth on tail gasping at water surface staying at bottom swollen gills today i saw,2,Bacterial gill disease
breathing faster than normal filter was off for few hours...,5,Parasitic diseases
not sure what happened tail end looks dead hiding in corner milky white tail,6,Viral diseases White tail disease
fish showing tail rot like white area color looks dull color looks dull it happens mostly at night,6,Viral diseases White tail disease
for 2 days red wounds on belly tail end looks dead sometimes floating near surface is it serious loss of appetite new fish added recently,6,Viral diseases White tail disease
problem is stays near filter outlet gills look damaged loss of appitite less active than usual tank was cleaned yesterday,2,Bacterial gill disease
BREATHING DIFFICULTY FUNGUS ON BODY MOLD LIKE GROWTH ON TAIL FISH LOOKS STRESSED ABNORMAL SWIMMING TODAY I SAW STARTED RECENTLY,3,Fungal diseases Saprolegniasis
Small blood marks on scales brething faster than normal,0,Bacterial Red disease
red ulcerss on body started recently one fish has...,0,Bacterial Red disease
in my aquarium scales sticking out fish looks stressed color looks dull teil fin becoming pale not sure what happened,1,Bacterial diseases - Aeromoniasis
today i saw bloody red spots slow swimming weak movement please help,0,Bacterial Red disease
bleeding marks on skin color looks dull new fish added recently getting worse,0,Bacterial Red disease
fish opens mouth repeatedly abnormal swimming,2,Bacterial gill disease
today i saw normal breathing swims fine most of the time please help,4,Healthy Fish
my fish has fish swimming normally no swelling...,4,Healthy Fish
i noticed weak swimming white tail filter was off for few hours only one fish affected,6,Viral diseases White tail disease
since yesterday no white spots no visible wounds,4,Healthy Fish
No visible wounds,4,Healthy Fish
in my aquarium pale gills brown gill color less aktive than usual filter was off for few hours tail rot like white area started recently...,2,Bacterial gill disease
slow swimming fish keeps scratching red streaks around tail please help one fish has tiny salt dots does not react much,5,Parasitic diseases
for 2 days gills look damaged loss of appetite getting worse,2,Bacterial gill disease
One fish has white mold on fins white cotton like growth tiny salt like dots is it serious,3,Fungal diseases Saprolegniasis
red ulcers on body red ulcers on body breathing faster than normal what disease is this,0,Bacterial Red disease
one fish has bloody red spots red wounds on belly fish looks tired started recently,0,Bacterial Red disease
gasping at water surface slow swimming...,2,Bacterial gill disease
clear eyes what disease is this?,4,Healthy Fish
in my aquarium white cotton like growth mold like growth on teil breathin faster than normal getting worse,3,Fungal diseases Saprolegniasis
weak swimming with white tail other fish look normal tail turning white fish looks stressed my fish has,6,Viral diseases White tail disease
in my aquarium red sores near fins bloody red spots breathing faster than normal please help,0,Bacterial Red disease
For 2 days white cotton like growth not eating properly please help...,3,Fungal diseases Saprolegniasis
fish showing smooth scales swims fine most of the time it happens mostly at night,4,Healthy Fish
breathing difficulty only one fish affected weak movement brown gill color water is slightly dirty my fish has?,2,Bacterial gill disease
Since yesterday bloated abdomen fish looks stressed oxygen level may be low it happens mostly at night...,1,Bacterial diseases - Aeromoniasis
one fish has bloody red spots abnormal swimming water temperature changed started recently,0,Bacterial Red disease
one fish has bloody red spots skin looks reddish and damaged does not react much it serious,0,Bacterial Red disease
visible lice on fish only one fish affected...,5,Parasitic diseases
less active than usual tank was cleaned yesterday,5,Parasitic diseases
fish showing what disease is this deep skin ulcers hiding in corner,1,Bacterial diseases - Aeromoniasis
In my aquarium no visible wounds sometimes stays still is it serious,4,Healthy Fish
for 2 days getting worse white patch starting from tail tail fin becoming pale less active than usual?,6,Viral diseases White tail disease
I NOTICED STAYS NEAR FILTER OUTLET RAPID GILL MOVEMENT BREATHING FASTER THAN NORMAL FISH LOOKS TIRED STARTED RECENTLY,2,Bacterial gill disease
one fish has fungal growth on skin white mold on fins please help fish looks stressed,3,Fungal diseases Saprolegniasis
problem is dropsy swelling scales sticking out not eating properly water smells bad what disease is this,1,Bacterial diseases - Aeromoniasis
since yesterday dropsy like swelling breathing faster than normal color looks dull is it serious,1,Bacterial diseases - Aeromoniasis
today i saw getting worse skin irritation tail tissue damaged?,6,Viral diseases White tail disease
grey white fungus sometimes floating near surface,3,Fungal diseases Saprolegniasis
in my aquarium clear eyes please help,4,Healthy Fish
smooth scales,4,Healthy Fish
rapid gill movement other fish look normal less active than usual,2,Bacterial gill disease
my fish has fish looks tired mucus on gills started recently?,2,Bacterial gill disease
tank has algae less active than usual,5,Parasitic diseases
today i saw fish keeps scratching parasites attached to skin hiding in corner weak swimming with white tail not sure what happened,5,Parasitic diseases
for 2 days small blood marks on scales hiding in corner what diesase is this,0,Bacterial Red disease
in my aquarium rubbing body on tank wall rubbing body on tank wall feed was changed recently is it serious?,5,Parasitic diseases
white mold on fins is it serious,3,Fungal diseases Saprolegniasis
for 2 days red wounds on belly does not react much only one fish affected,0,Bacterial Red disease
staying at bottom weak swimming with white tail problem is what disease is this?,6,Viral diseases White tail disease
breathing difficulty fish showing brown gill color...,2,Bacterial gill disease
fins are clamped fluid filled belly...,1,Bacterial diseases - Aeromoniasis
i noticed gills look damaged breathing difficulty weak movement other fish look normal,2,Bacterial gill disease
TODAY I SAW ACTIVE AND EATING WELL IS IT SERIOUS,4,Healthy Fish
scales sticking out hiding in corner,1,Bacterial diseases - Aeromoniasis
Skin irritation in my aquarium water is slightly dirty started recently...,5,Parasitic diseases
fluid filled belly water smells bad not eating properly it happens mostly at night swollen belly one fish has?,1,Bacterial diseases - Aeromoniasis
weak swimming with white tail tail end looks dead in my aquarium fish looks tired weak movement it happens mostly at night,6,Viral diseases White tail disease
scratching against rocks fluffy fungus near wound today i saw color looks dull less active than usual flashing behavior oxygen level may be low please help,5,Parasitic diseases
white patch starting from tail abnormal swimming,6,Viral diseases White tail disease
my fish fluid filled belly body ulcers color looks dull pH may be unstable not sure what happened,1,Bacterial diseases - Aeromoniasis
fish looks stressed brown gill color,2,Bacterial gill disease
problem is clear eyes is it serious,4,Healthy Fish
after water change slow swimming white tail tip my fish,6,Viral diseases White tail disease
only one fish affected water smells bad since yesterday staying at bottom fish looks stressed grey white fungus fuzzy white patches,3,Fungal diseases Saprolegniasis
today i saw fluid filled belly not eating properly it happens mostly at night,1,Bacterial diseases - Aeromoniasis
One fish has fish keeps scratching clamped fins only one fish affected,5,Parasitic diseases
my fish has teil rot like white area tail fin becoming pale staying at bottom fish looks stressed what disease is this,6,Viral diseases White tail disease
color looks dull for 2 days dropsy like swelling,1,Bacterial diseases - Aeromoniasis
my fish has fish swimming normally started recently,4,Healthy Fish
one fish has scratching against rocks water smells bad parasites attached to skin fish looks tired please help slow swimming,5,Parasitic diseases
SWOLLEN BELLY FISH LOOKS TIRED,1,Bacterial diseases - Aeromoniasis
tail rot white area less active than usual,6,Viral diseases White tail disease
dropsy like swelling staying at bottom...,1,Bacterial diseases - Aeromoniasis
weak swimming with white tail abnormal swimming fish looks stressed it happens mostly at night...,6,Viral diseases White tail disease
in my aquarium fungal growth on skin fungal growth on skin breathing faster than normal started recently,3,Fungal diseases Saprolegniasis
fish looks tired water is slightly dirty...?,3,Fungal diseases Saprolegniasis
color looks dull water temperature changed,5,Parasitic diseases
fish looks tired filter was off for few hours,0,Bacterial Red disease
Dropsy like swelling staying at bottom,1,Bacterial diseases - Aeromoniasis
deep skin ulcers hiding in corner fluid filled belly less active than usual in my aquarium,1,Bacterial diseases - Aeromoniasis
for 2 days healthy fins is it serious,4,Healthy Fish
less active than usual water is slightly dirty,5,Parasitic diseases
smooth scales fish showing,4,Healthy Fish
I noticed mucus on gills slow swimming oxygen level may be low not sure what happened,2,Bacterial gill disease
"for 2 days small blood marks on scales skin looks reddish, damaged not eating properly please help",0,Bacterial Red disease
problem is visible lice fish breathing faster than normal ammonia may be high bloated abdomen other fish look normal,5,Parasitic diseases
For 2 days milky white tail tail tissue damaged less aktive than usual does not react much,6,Viral diseases White tail disease
i noticed small blood marks on scales red ulcers on body fish looks stressed other fish look normal,0,Bacterial Red disease
i noticed scales sticking out fish looks bloated and weak color looks dull not sure what happened,1,Bacterial diseases - Aeromoniasis
grey white fungus red wounds on belly only one fish affected for 2 days loss of appetite fish looks tired,3,Fungal diseases Saprolegniasis
swollen gills sometimes floating near surface is it serious...,2,Bacterial gill disease
fish showing white cotton like growth slow swimming ammonia may be high is it serious,3,Fungal diseases Saprolegniasis
INFLAMED RED AREAS SMALL BLOOD MARKS ON SCALES FINS ARE CLAMPED ONLY ONE FISH AFFECTED,0,Bacterial Red disease
tank has algae in my aquarium pale gill slow swimming rapid gill movement started recently,2,Bacterial gill disease
my fish has dropsy like swelling does not react much weak movement tank has algae fungal growth on skin,1,Bacterial diseases - Aeromoniasis
one fish has started recently flashing behavior does not react much breathing faster than normal visible lice on fish new fish added recently,5,Parasitic diseases
fish looks stressed fish opens mouth repeatedly water is cloudy visible lice on fish tiny salt like dots my fish has,5,Parasitic diseases
Bloody red spots color looks dull,0,Bacterial Red disease
fins are clamped pH may be unstable,2,Bacterial gill disease
body ulcers staying at bottom staying at bottom what disease is this...,1,Bacterial diseases - Aeromoniasis
i noticed scales sticking out weak movement mucus gills getting worse,1,Bacterial diseases - Aeromoniasis
swims fine most of the time fish looks healthy in my aquarium what disease is this,4,Healthy Fish
bleeding marks on skin red wounds on belly fluid filled belly it happens mostly at night,0,Bacterial Red disease
No fungus for 2 days active and eating well...?,4,Healthy Fish
rubbing body on tank wall color looks dull...,5,Parasitic diseases
tank has algae weak movement problem is white cotton like growth fluffy fungus near wound started recently,3,Fungal diseases Saprolegniasis
whit patch starting from tail loss of appetite?,6,Viral diseases White tail disease
what disease is this my fish has active and eating well,4,Healthy Fish
I NOTICED SWOLLEN GILLS FISH OPENS MOUTH REPEATEDLY SOMETIMES FLOATING NEAR SURFACE DOES NOT REACT MUCH OTHER FISH LOOK NORMAL...,2,Bacterial gill disease
today i saw fish keeps scratching abnormal swimming getting worse,5,Parasitic diseases
Stays near filter outlet slow swimming other fish look normal,2,Bacterial gill disease
fish showing fluffy fungus near wound grey white fungus it happens mostly at night,3,Fungal diseases Saprolegniasis
problem inflamed red areas does not react much fish looks tired grey white fungus please help?,0,Bacterial Red disease
in my aquarium breathing difficulty breathing difficulty color looks dull new fish added recently getting worse,2,Bacterial gill disease
Grey white fungus breathing difficulty wite hairy patch fish looks tired one fish has new fish added recently fish looks tired only one fish affected,3,Fungal diseases Saprolegniasis
today i saw red streaks around tail red streaks around tail weak movement tank has algae only one fish affected,0,Bacterial Red disease
pH may be unstable started recently only resting after feeding i noticed fish looks healthy,4,Healthy Fish
today i saw white cotton growth fuzzy white patches staying at bottom breathing faster than normal water is cloudy getting worse,3,Fungal diseases Saprolegniasis
My fish has tiny salt like dots loss of appetite inflamed red areas not sure what happened,5,Parasitic diseases
i noticed flashing behavior is it serious flashing behavior breathing faster than normal...,5,Parasitic diseases
water is cloudy fish looks stressed,0,Bacterial Red disease
Scales sticking out less active than usual...?,1,Bacterial diseases - Aeromoniasis
my fish has parasites attached to skin not eating properly hiding in corner fish was moved to new tank started recently,5,Parasitic diseases
RED SORES NEAR FINS WEAK MOVEMENT BREATHING FASTER THAN NORMAL FISH WAS MOVED TO NEW TANK IT HAPPENS MOSTLY AT NIGHT SKIN LOOKS REDDISH AND DAMAGED IN MY AQUARIUM...,0,Bacterial Red disease
visible lice on fish not sure what happened white spots on body hiding in corner color looks dull in my aquarium,5,Parasitic diseases
fish looks stressed white spots body scratching against rocks weak movement fish showing,5,Parasitic diseases
i noticed taill fin becoming pale filter was off for few hours milky white tail breathin faster than normal other fish look normal...,6,Viral diseases White tail disease
weak movement fish was moved to new tank,6,Viral diseases White tail disease
no whit spots please help today i saw normal appetite,4,Healthy Fish
scales sticking out staying at bottom,1,Bacterial diseases - Aeromoniasis
FISH SHOWING GASPING AT WATER SURFACE FISH OPENS MOUTH REPEATEDLY WEAK MOVEMENT GREY WHITE FUNGUS IT HAPPENS MOSTLY AT NIGHT,2,Bacterial gill disease
IN MY AQUARIUM FISH KEEPS SCRATCHING WHITE SPOTS ON BODY NOT EATING PROPERLY FISH WAS MOVED TO NEW TANK SWOLEEN GILLS GETTING WORSE,5,Parasitic diseases
i noticed tail rot like white area tail rot like white area weak movement bleeding marks on skin...,6,Viral diseases White tail disease
fish swimming normally ammonia may be high is it serious,4,Healthy Fish
i noticed mold like growth on tail white cotton like growth body ulcers started recently,3,Fungal diseases Saprolegniasis
sometimes floating serface new fish added recently...?,3,Fungal diseases Saprolegniasis
my fish smooth scales no swelling is it serious,4,Healthy Fish
For 2 days stays filter outlet slow swimming only one fish affected,2,Bacterial gill disease
today i saw smooth scales no breathing issue it happens mostly at night,4,Healthy Fish
today i saw smooth scales not sure what happened,4,Healthy Fish
problem is flashing behavior abnormal swimming tank was cleaned yesterday mucus on gills only one fish affected...,5,Parasitic diseases
My fish has wite cotton like growth fungus on body not eating properly less active than usual other fish look normal,3,Fungal diseases Saprolegniasis
My fish has fungus on body cottn wool growth tank has algae what disease is this,3,Fungal diseases Saprolegniasis
since yesterday gasping at water serface mucus on gills does not react much staying at bottom other fish look normal,2,Bacterial gill disease
tank has algae slow swimming fish showing weak swimming with white tail tail tissue damaged started recently,6,Viral diseases White tail disease
loss of appetite water is cloudy,3,Fungal diseases Saprolegniasis
white cotton like growth less active than usual,3,Fungal diseases Saprolegniasis
problem is getting worse fish swimming normally swims fine most of the time,4,Healthy Fish
for 2 days white mold on fins breathing faster than normal getting worse,3,Fungal diseases Saprolegniasis
Parasites attached to skin clamped fins fish was moved to new tank started recently,5,Parasitic diseases
